ubicgeob,cod_expe,cod_deli,delirie8,califdel,gdoconsu,formcomi,formacci,tipmodal,ele_comi,ticoncur,ticlasif,entiocur,munocurr,fec_ocur,totalca1,totalca2
"15025",4880,6196,40100,1,1,3,1,3,3,1,1,15,"15025","28/06/2018","1","2"
"15025",4881,6197,40100,1,1,2,1,3,2,1,1,15,"15025","31/10/2018","2","2"
"15025",4882,6198,10100,1,1,3,1,3,4,1,1,15,"15025","03/06/2018","2","2"
"15025",4883,6199,10100,1,2,2,1,4,2,1,1,15,"15025","07/10/2018","1","1"
"15025",4884,6200,10100,1,2,1,1,3,1,1,1,15,"15122","08/09/2018","2","1"
"15025",4885,6201,40100,1,1,1,1,3,1,1,1,15,"15122","08/05/2018","1","1"
"15025",4885,6202,40100,1,1,1,1,3,1,1,1,15,"15122","08/05/2018","1","1"
"15025",4885,6203,20700,1,1,1,1,3,1,1,1,15,"15122","08/05/2018","1","1"
"15025",4886,6204,40100,1,1,1,1,3,1,1,1,15,"15025","19/01/2012","3","1"
"15025",4887,6205,40100,1,1,2,1,3,2,1,1,15,"15039","25/12/2018","1","1"
"15025",4888,6206,40100,1,1,2,1,3,2,1,1,15,"15039","10/10/2018","1","1"
"15025",4889,6207,40100,1,1,2,1,3,2,1,1,15,"15039","17/12/2018","1","1"
"15025",4890,6208,10400,2,1,3,2,1,4,2,1,15,"15122","25/03/2018","1","1"
"15025",4891,6209,40100,1,1,3,1,3,3,1,1,15,"15014","21/11/2018","3","2"
